class,name,price,etl_date,tdp,cooling_method,model
電源供應器,全漢 HYDRO G PRO 1200W ATX3.0(PCIe 5.0) 雙8/金牌/全模/全日系/防潮塗層/10年保,5790,2024-03-03,1200,,
電源供應器,全漢 HYDRO PTM PRO 750W 雙8/白金/全模/全日系/工業級防潮塗層/10年保,3990,2024-03-03,750,,
電源供應器,全漢 HYDRO PTM PRO 850W 參8/白金/全模/全日系/防潮塗層/10年 送12+4pin模組線！,4590,2024-03-03,850,,
電源供應器,全漢 HYDRO PTM PRO 1000W 參8/白金/全模/全日系/防潮塗層/10年 送12+4pin模組線！,5890,2024-03-03,1000,,
電源供應器,全漢 HYDRO PTM PRO 1350W 雙8/白金/全模/ATX3.0/PCIe5.0(12V-2x6)防潮塗層/10年,7990,2024-03-03,1350,,
電源供應器,全漢 HYDRO PTM PRO 1650W 雙8/白金/全模/ATX3.0/PCIe5.0(12V-2x6)防潮塗層/10年,11090,2024-03-03,1650,,
電源供應器,全漢 HYDRO PTM X PRO 1000W 雙8/白金/全模/全日系/13cm短機身/10年 送12+4模組線！,6190,2024-03-03,1000,,
電源供應器,全漢 HYDRO PTM X PRO 1000W ATX3.0(PCIe 5.0) 雙8/白金/全模/全日系/短機身/10年,6990,2024-03-03,1000,,
電源供應器,全漢 HYDRO PTM X PRO 1200W ATX3.0(PCIe 5.0) 雙8/白金/全模/全日系/短機身/10年,8490,2024-03-03,1200,,
電源供應器,全漢 HYDRO PTM X PRO 1200W ATX3.0(PCIe 5.0) 白色/雙8/白金/全日系/短機身/10年,8590,2024-03-03,1200,,
電源供應器,全漢 HYDRO Ti PRO 1000W 雙8/鈦金/全模/ATX3.0(PCIe 5.0)/全日系/防潮塗層/10年,9900,2024-03-03,1000,,
電源供應器,全漢 HYDRO PTM+ 1200W 雙8/白金/水冷電源/5年保/Aura Sync【客訂,19990,2024-03-03,1200,,
電源供應器,全漢 CANNON PRO 2000W 雙8/金牌/全模/全日系/1年保/18組PCI-E 6+2Pin【無快換】,13900,2024-03-03,2000,,
電源供應器,華碩 ROG LOKI 750W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,5990,2024-03-03,750,,
電源供應器,華碩 ROG LOKI 850W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,6990,2024-03-03,850,,
電源供應器,華碩 ROG LOKI 850W 白色版 雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】,7490,2024-03-03,850,,
電源供應器,華碩 ROG LOKI 1000W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,8490,2024-03-03,1000,,
電源供應器,華碩 ROG LOKI 1200W 雙8/鈦金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,9990,2024-03-03,1200,,
電源供應器,華碩 TUF GAMING 550W 銅牌/直出線/雙滾珠風扇/智慧停轉/防潮塗層/6年保,2190,2024-03-03,550,,
電源供應器,華碩 TUF GAMING 650W 銅牌/直出線/雙滾珠風扇/智慧停轉/防潮塗層/6年保,2490,2024-03-03,650,,
電源供應器,華碩 TUF GAMING 750W 雙8/銅牌/直出線/雙滾珠風扇/智慧停轉/防潮塗層/6年保▼下殺到 3/31 20:00,2690,2024-03-03,750,,
電源供應器,華碩 PRIME 750W Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/雙滾珠風扇/8年保,3490,2024-03-03,750,,
電源供應器,華碩 PRIME 850W Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/雙滾珠風扇/8年保,3990,2024-03-03,850,,
電源供應器,華碩 TUF GAMING 750W Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保,3990,2024-03-03,750,,
電源供應器,華碩 TUF GAMING 850W Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保,4590,2024-03-03,850,,
電源供應器,華碩 TUF GAMING 1000W Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保,5490,2024-03-03,1000,,
電源供應器,華碩 TUF GAMING 1000W Gold 白色版 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保,5890,2024-03-03,1000,,
電源供應器,華碩 TUF GAMING 1200W Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保,6290,2024-03-03,1200,,
電源供應器,華碩 ROG STRIX 750W 雙8/金牌/PCIe 5.0(轉接)/全模組/全日系/智慧停轉/10年保,4190,2024-03-03,750,,
