class,name,price,etl_date,brand,module_Spec,capacity,capacity_value,capacity_unit
記憶體 RAM,美光Micron Crucial 32GB DDR5 4800/CL40,2699,2024-03-03,美光Micron,DDR5,32GB,32,GB
記憶體 RAM,UMAX 16GB(雙通8GB*2) DDR5 4800/CL40 含散熱片,1499,2024-03-03,UMAX,DDR5,16GB,16,GB
記憶體 RAM,UMAX 32GB(雙通16GB*2) DDR5 4800/CL40 含散熱片,2599,2024-03-03,UMAX,DDR5,32GB,32,GB
記憶體 RAM,UMAX 64GB(雙通32GB*2) DDR5 4800/CL40 含散熱片,5099,2024-03-03,UMAX,DDR5,64GB,64,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) D5 6400/CL32 LancerRGB(AX5U6400C3216G-DCLARBK)黑,3999,2024-03-03,威剛,Unknown,32GB,32,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) D5 6400/CL32 LancerRGB(AX5U6400C3216G-DCLARWH)白,3999,2024-03-03,威剛,Unknown,32GB,32,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) D5 6600/CL32 Lancer RGB ROG-CERTIFIED 聯名款,5699,2024-03-03,威剛,Unknown,32GB,32,GB
記憶體 RAM,威剛32GB(雙通16GB*2)D5 6800/CL34 Lancer RGB(AX5U6800C3416G-DCLARBK)黑,5699,2024-03-03,威剛,Unknown,32GB,32,GB
記憶體 RAM,威剛32GB(雙通16GB*2)D5 6800/CL34 Lancer RGB(AX5U6800C3416G-DCLARWH白,5699,2024-03-03,威剛,Unknown,32GB,32,GB
記憶體 RAM,威剛32GB(雙通16GB*2)D5 7200/CL34 LancerRGB(AX5U7200C3416G-DCLARBK)黑,5499,2024-03-03,威剛,Unknown,32GB,32,GB
記憶體 RAM,威剛32GB(雙通16GB*2)D5 7200/CL34 LancerRGB(AX5U7200C3416G-DCLARWH)白,5499,2024-03-03,威剛,Unknown,32GB,32,GB
記憶體 RAM,威剛48GB(24GB*2)D5 6400/CL32 Lancer Blade RGB(AX5U6400C3224G-DTLABRBK)黑,5399,2024-03-03,威剛,Unknown,48GB,48,GB
記憶體 RAM,威剛48GB(24GB*2)D5 6400/CL32 Lancer Blade RGB(AX5U6400C3224G-DTLABRWH)白,5399,2024-03-03,威剛,Unknown,48GB,48,GB
記憶體 RAM,威剛64GB(雙通32GB*2)D5 6400/CL32 LancerRGB(AX5U6400C3232G-DCLARBK)黑,7199,2024-03-03,威剛,Unknown,64GB,64,GB
記憶體 RAM,威剛64GB(雙通32GB*2)D5 6400/CL32 LancerRGB(AX5U6400C3232G-DCLARWH)白,7199,2024-03-03,威剛,Unknown,64GB,64,GB
記憶體 RAM,十銓ELITE 32GB(雙通道16GB*2) DDR5 5600/CL46,2599,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,KLEVV(科賦)32GB(雙通道16GB*2) DDR5 6400/CL32 BOLT V,3399,2024-03-03,KLEVV,DDR5,32GB,32,GB
記憶體 RAM,KLEVV(科賦)32GB(雙通道16GB*2) DDR5 6000/CL40 CRAS XR5 RGB,3359,2024-03-03,KLEVV,DDR5,32GB,32,GB
記憶體 RAM,KLEVV(科賦)32GB(雙通道16GB*2) DDR5 6200/CL40 CRAS XR5 RGB,3799,2024-03-03,KLEVV,DDR5,32GB,32,GB
記憶體 RAM,KLEVV(科賦)32GB(雙通道16GB*2) DDR5 7200/CL36 CRAS XR5 RGB,5399,2024-03-03,KLEVV,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB(雙通16GB*2) DDR5-6400 FURY Renegade RGB黑(KF564C32RSAK2-32),4900,2024-03-03,金士頓,DDR5,32GB,32,GB
