class,name,price,etl_date,model,size,brand,company,cut_name
主機板 MB,華碩 ROG STRIX B760-F GAMING WIFI(ATX/Intel 2.5Gb+無線/註冊五年)16+1相,7590,2024-03-03,Unknown,ATX,華碩,華碩,華碩 ROG STRIX B760-F GAMING WIFI
主機板 MB,技嘉 B760M H(M-ATX/Realtek GbE LAN/註冊四年保/2DIMM)6+1+1相,3190,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M H
主機板 MB,【狂】技嘉 B760M H + Intel i3-14100【4核/8緒】-至3/31止,7490,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M H + Intel i3-14100
主機板 MB,【狂】技嘉 B760M H + Intel i5-14400【10核/16緒】-至3/31止,10390,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M H + Intel i5-14400
主機板 MB,技嘉 B760M GAMING WIFI(M-ATX/Realtek 2.5Gb+無線/註冊五年保/2DIMM)6+2+1相,3790,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M GAMING WIFI
主機板 MB,技嘉 B760M DS3H(M-ATX/Realtek 2.5Gb/註冊四年保)6+2+1相,3990,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M DS3H
主機板 MB,【狂】技嘉 B760M DS3H + Intel i3-14100【4核/8緒】活動到3/31止,8490,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M DS3H + Intel i3-14100
主機板 MB,【狂】技嘉 B760M DS3H + Intel i5-14500【6+8核/20緒】活動到3/31止,11690,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M DS3H + Intel i5-14500
主機板 MB,【狂】技嘉 B760M DS3H + Intel i7-14700【20核/28緒】活動到3/31止,16790,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M DS3H + Intel i7-14700
主機板 MB,技嘉 B760M DS3H AX(M-ATX/Realtek 2.5Gb+無線/註冊四年保)6+2相,4490,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M DS3H AX
主機板 MB,【狂】技嘉 B760M DS3H AX + Intel i3-14100【4核/8緒】活動到3/31,8590,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M DS3H AX + Intel i3-14100
主機板 MB,【狂】技嘉 B760M DS3H AX + Intel i5-14400【10核/16緒】活動到3/31,11390,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M DS3H AX + Intel i5-14400
主機板 MB,【狂】技嘉 B760M DS3H AX + Intel i5-14500【6+8核/20緒】活動到3/31,11690,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M DS3H AX + Intel i5-14500
主機板 MB,技嘉 B760M AORUS ELITE(M-ATX/Realtek 2.5Gb/註冊五年保)12+1+1相,5490,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M AORUS ELITE
主機板 MB,技嘉 B760M AORUS ELITE AX(M-ATX/Realtek 2.5Gb+無線/註冊五年保)12+1+1相,5990,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M AORUS ELITE AX
主機板 MB,技嘉 B760M AORUS ELITE X AX(M-ATX冰魄白/INTEL 2.5Gb+無線/註五年)14+1+1相,6990,2024-03-03,M-ATX冰魄白,ATX,技嘉,技嘉,技嘉 B760M AORUS ELITE X AX
主機板 MB,技嘉 B760M GAMING X(M-ATX/Realtek 2.5Gb/註五年)8+1+1相供電*獨家款,4990,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M GAMING X
主機板 MB,技嘉 B760 GAMING X(ATX/Realtek 2.5Gb/註冊五年保)8+1+1相供電,6490,2024-03-03,Unknown,ATX,技嘉,技嘉,技嘉 B760 GAMING X
主機板 MB,技嘉 B760 AORUS ELITE AX(ATX/Realtek 2.5Gb+無線/註冊五年保)12+1相供電,7490,2024-03-03,Unknown,ATX,技嘉,技嘉,技嘉 B760 AORUS ELITE AX
主機板 MB,微星 B760I EDGE WIFI(Mini ITX/Realtek 2.5Gb+無線/2DIMM)8+1+1相電源,5290,2024-03-03,Unknown,ITX,微星,微星,微星 B760I EDGE WIFI
主機板 MB,微星 PRO B760M-E(M-ATX/Realtek 1Gb/註冊四年/2DIMM)6+1+1相供電,2990,2024-03-03,M-E,ATX,微星,微星,微星 PRO B760M-E
主機板 MB,微星 PRO B760M-B(M-ATX/Realtek 2.5Gb/註冊四年/2DIMM)6+1相供電,3090,2024-03-03,M-B,ATX,微星,微星,微星 PRO B760M-B
主機板 MB,微星 PRO B760M-G(M-ATX/Realtek 2.5Gb/註冊四年)8相供電,3090,2024-03-03,M-G,ATX,微星,微星,微星 PRO B760M-G
主機板 MB,微星 PRO B760M-P(M-ATX/Realtek 1Gb/註冊四年)8相供電,3690,2024-03-03,M-P,ATX,微星,微星,微星 PRO B760M-P
主機板 MB,微星 PRO B760M-A WIFI(M-ATX/Realtek 2.5Gb+無線/註冊四年)14相供電,4590,2024-03-03,M-A,ATX,微星,微星,微星 PRO B760M-A WIFI
主機板 MB,微星 B760M BOMBER(M-ATX/Realtek 2.5Gb/註四年/2DIMM)8相供電,2790,2024-03-03,M-ATX,ATX,微星,微星,微星 B760M BOMBER
主機板 MB,微星 B760M BOMBER WIFI(M-ATX/Realtek 2.5Gb+無線/註四年/2DIMM)6+1+1相,3790,2024-03-03,M-ATX,ATX,微星,微星,微星 B760M BOMBER WIFI
主機板 MB,微星 B760M GAMING WIFI(M-ATX/Realtek 2.5Gb+無線/註五年)6+1相,4390,2024-03-03,M-ATX,ATX,微星,微星,微星 B760M GAMING WIFI
